ds,y,type
2015-01-01 08:00:00,23.81,actual
2015-01-01 09:00:00,199.02,actual
2015-01-01 10:00:00,459.92,actual
2015-01-01 11:00:00,567.95,actual
2015-01-01 12:00:00,743.79,actual
2015-01-01 13:00:00,880.85,actual
2015-01-01 14:00:00,616.39,actual
2015-01-01 15:00:00,177.9,actual
2015-01-01 16:00:00,2.51,actual
2015-01-02 08:00:00,50.6,actual
2015-01-02 09:00:00,466.45,actual
2015-01-02 10:00:00,1042.69,actual
2015-01-02 11:00:00,1435.25,actual
2015-01-02 12:00:00,1547.2,actual
2015-01-02 13:00:00,1355.37,actual
2015-01-02 14:00:00,920.37,actual
2015-01-02 15:00:00,321.38,actual
2015-01-02 16:00:00,5.92,actual
2015-01-03 08:00:00,15.5,actual
2015-01-03 09:00:00,169.32,actual
2015-01-03 10:00:00,280.59,actual
2015-01-03 11:00:00,789.14,actual
2015-01-03 12:00:00,939.16,actual
2015-01-03 13:00:00,731.58,actual
2015-01-03 14:00:00,367.14,actual
2015-01-03 15:00:00,106.53,actual
2015-01-03 16:00:00,1.75,actual
2015-01-04 08:00:00,35.84,actual
2015-01-04 09:00:00,216.1,actual
2015-01-04 10:00:00,443.0,actual
2015-01-04 11:00:00,581.65,actual
2015-01-04 12:00:00,602.19,actual
2015-01-04 13:00:00,526.78,actual
2015-01-04 14:00:00,353.61,actual
2015-01-04 15:00:00,117.72,actual
2015-01-04 16:00:00,2.05,actual
2015-01-05 08:00:00,34.07,actual
2015-01-05 09:00:00,212.76,actual
2015-01-05 10:00:00,408.33,actual
2015-01-05 11:00:00,522.86,actual
2015-01-05 12:00:00,494.54,actual
2015-01-05 13:00:00,454.95,actual
2015-01-05 14:00:00,269.42,actual
2015-01-05 15:00:00,87.28,actual
2015-01-05 16:00:00,1.87,actual
2015-01-06 08:00:00,29.18,actual
2015-01-06 09:00:00,272.0,actual
2015-01-06 10:00:00,936.25,actual
2015-01-06 11:00:00,1446.43,actual
2015-01-06 12:00:00,1574.69,actual
2015-01-06 13:00:00,1374.94,actual
2015-01-06 14:00:00,932.68,actual
2015-01-06 15:00:00,343.61,actual
2015-01-06 16:00:00,8.39,actual
2015-01-07 08:00:00,43.66,actual
2015-01-07 09:00:00,181.9,actual
2015-01-07 10:00:00,267.31,actual
2015-01-07 11:00:00,324.86,actual
2015-01-07 12:00:00,296.45,actual
2015-01-07 13:00:00,260.38,actual
2015-01-07 14:00:00,278.83,actual
2015-01-07 15:00:00,128.69,actual
2015-01-07 16:00:00,2.16,actual
2015-01-08 08:00:00,41.04,actual
2015-01-08 09:00:00,241.94,actual
2015-01-08 10:00:00,742.63,actual
2015-01-08 11:00:00,1140.76,actual
2015-01-08 12:00:00,1435.31,actual
2015-01-08 13:00:00,1359.5,actual
2015-01-08 14:00:00,947.05,actual
2015-01-08 15:00:00,366.64,actual
2015-01-08 16:00:00,5.55,actual
2015-01-09 08:00:00,77.89,actual
2015-01-09 09:00:00,473.17,actual
2015-01-09 10:00:00,940.13,actual
2015-01-09 11:00:00,1255.9,actual
2015-01-09 12:00:00,1183.44,actual
2015-01-09 13:00:00,549.07,actual
2015-01-09 14:00:00,554.33,actual
2015-01-09 15:00:00,261.79,actual
2015-01-09 16:00:00,7.93,actual
2015-01-10 08:00:00,29.9,actual
2015-01-10 09:00:00,328.11,actual
2015-01-10 10:00:00,692.03,actual
2015-01-10 11:00:00,1017.25,actual
2015-01-10 12:00:00,1244.0,actual
2015-01-10 13:00:00,1229.75,actual
2015-01-10 14:00:00,872.0,actual
2015-01-10 15:00:00,323.28,actual
2015-01-10 16:00:00,12.54,actual
2015-01-11 08:00:00,125.56,actual
2015-01-11 09:00:00,497.4,actual
2015-01-11 10:00:00,683.44,actual
2015-01-11 11:00:00,1198.47,actual
2015-01-11 12:00:00,1270.62,actual
2015-01-11 13:00:00,883.79,actual
2015-01-11 14:00:00,560.95,actual
2015-01-11 15:00:00,205.67,actual
2015-01-11 16:00:00,5.29,actual
2015-01-12 08:00:00,15.85,actual
2015-01-12 09:00:00,88.82,actual
2015-01-12 10:00:00,225.44,actual
2015-01-12 11:00:00,327.04,actual
2015-01-12 12:00:00,276.54,actual
2015-01-12 13:00:00,228.48,actual
2015-01-12 14:00:00,112.58,actual
2015-01-12 15:00:00,36.39,actual
2015-01-12 16:00:00,0.99,actual
2015-02-01 07:00:00,9.91,actual
2015-02-01 08:00:00,401.45,actual
2015-02-01 09:00:00,1085.18,actual
2015-02-01 10:00:00,1653.37,actual
2015-02-01 11:00:00,1993.64,actual
2015-02-01 12:00:00,1989.74,actual
2015-02-01 13:00:00,1725.87,actual
2015-02-01 14:00:00,1258.12,actual
2015-02-01 15:00:00,683.37,actual
2015-02-01 16:00:00,129.05,actual
2015-02-02 07:00:00,7.4,actual
2015-02-02 08:00:00,204.14,actual
2015-02-02 09:00:00,489.54,actual
2015-02-02 10:00:00,687.12,actual
2015-02-02 11:00:00,796.53,actual
2015-02-02 12:00:00,713.31,actual
2015-02-02 13:00:00,579.27,actual
2015-02-02 14:00:00,390.82,actual
2015-02-02 15:00:00,185.03,actual
2015-02-02 16:00:00,34.32,actual
2015-02-03 07:00:00,7.99,actual
2015-02-03 08:00:00,204.94,actual
2015-02-03 09:00:00,636.08,actual
2015-02-03 10:00:00,1227.95,actual
2015-02-03 11:00:00,1635.83,actual
2015-02-03 12:00:00,1675.5,actual
2015-02-03 13:00:00,1523.24,actual
2015-02-03 14:00:00,1164.12,actual
2015-02-03 15:00:00,660.47,actual
2015-02-03 16:00:00,138.63,actual
2015-02-04 07:00:00,20.58,actual
2015-02-04 08:00:00,452.04,actual
2015-02-04 09:00:00,1095.94,actual
2015-02-04 10:00:00,1598.37,actual
2015-02-04 11:00:00,1874.64,actual
2015-02-04 12:00:00,1950.62,actual
2015-02-04 13:00:00,1769.75,actual
2015-02-04 14:00:00,1410.01,actual
2015-02-04 15:00:00,839.84,actual
2015-02-04 16:00:00,195.8,actual
2015-02-05 07:00:00,24.61,actual
2015-02-05 08:00:00,416.23,actual
2015-02-05 09:00:00,1007.25,actual
2015-02-05 10:00:00,1564.37,actual
2015-02-05 11:00:00,1860.25,actual
2015-02-05 12:00:00,1901.62,actual
2015-02-05 13:00:00,1694.19,actual
2015-02-05 14:00:00,1182.68,actual
2015-02-05 15:00:00,579.66,actual
2015-02-05 16:00:00,129.86,actual
2015-02-06 07:00:00,32.7,actual
2015-02-06 08:00:00,526.96,actual
2015-02-06 09:00:00,1253.75,actual
2015-02-06 10:00:00,1805.61,actual
2015-02-06 11:00:00,2144.63,actual
2015-02-06 12:00:00,2248.75,actual
2015-02-06 13:00:00,2068.12,actual
2015-02-06 14:00:00,1644.55,actual
2015-02-06 15:00:00,953.94,actual
2015-02-06 16:00:00,237.63,actual
2015-02-07 07:00:00,37.3,actual
2015-02-07 08:00:00,533.87,actual
2015-02-07 09:00:00,1205.07,actual
2015-02-07 10:00:00,1880.61,actual
2015-02-07 11:00:00,2236.11,actual
2015-02-07 12:00:00,2338.87,actual
2015-02-07 13:00:00,2105.38,actual
2015-02-07 14:00:00,1610.88,actual
2015-02-07 15:00:00,927.89,actual
2015-02-07 16:00:00,224.71,actual
2015-02-07 17:00:00,0.01,actual
2015-02-08 07:00:00,40.17,actual
2015-02-08 08:00:00,519.03,actual
2015-02-08 09:00:00,1251.2,actual
2015-02-08 10:00:00,1987.75,actual
2015-02-08 11:00:00,2404.61,actual
2015-02-08 12:00:00,2491.0,actual
2015-02-08 13:00:00,2265.63,actual
2015-02-08 14:00:00,1758.12,actual
2015-02-08 15:00:00,1048.75,actual
2015-02-08 16:00:00,286.97,actual
2015-02-08 17:00:00,0.06,actual
2015-02-09 07:00:00,28.77,actual
2015-02-09 08:00:00,323.14,actual
2015-02-09 09:00:00,755.15,actual
2015-02-09 10:00:00,1205.14,actual
2015-02-09 11:00:00,1616.87,actual
2015-02-09 12:00:00,1862.43,actual
2015-02-09 13:00:00,1874.82,actual
2015-02-09 14:00:00,1584.31,actual
2015-02-09 15:00:00,1013.68,actual
2015-02-09 16:00:00,297.75,actual
2015-02-09 17:00:00,0.22,actual
2015-02-10 07:00:00,30.87,actual
2015-02-10 08:00:00,285.33,actual
2015-02-10 09:00:00,608.65,actual
2015-02-10 10:00:00,948.31,actual
2015-02-10 11:00:00,1224.38,actual
2015-02-10 12:00:00,1372.62,actual
2015-02-10 13:00:00,1554.99,actual
2015-02-10 14:00:00,1298.01,actual
2015-02-10 15:00:00,792.69,actual
2015-02-10 16:00:00,197.76,actual
2015-02-10 17:00:00,0.31,actual
2015-02-11 07:00:00,43.16,actual
2015-02-11 08:00:00,422.06,actual
2015-02-11 09:00:00,920.07,actual
2015-02-11 10:00:00,1321.18,actual
2015-02-11 11:00:00,1568.05,actual
2015-02-11 12:00:00,1712.5,actual
2015-02-11 13:00:00,1622.76,actual
2015-02-11 14:00:00,1277.17,actual
2015-02-11 15:00:00,716.31,actual
2015-02-11 16:00:00,204.67,actual
2015-02-11 17:00:00,0.71,actual
2015-02-12 07:00:00,44.0,actual
2015-02-12 08:00:00,391.42,actual
2015-02-12 09:00:00,893.13,actual
2015-02-12 10:00:00,1296.12,actual
2015-02-12 11:00:00,1505.81,actual
2015-02-12 12:00:00,1425.81,actual
2015-02-12 13:00:00,1390.49,actual
2015-02-12 14:00:00,1078.63,actual
2015-02-12 15:00:00,594.6,actual
2015-02-12 16:00:00,173.77,actual
2015-02-12 17:00:00,0.83,actual
2015-03-01 06:00:00,1.48,actual
2015-03-01 07:00:00,314.7,actual
2015-03-01 08:00:00,1014.3,actual
2015-03-01 09:00:00,1807.51,actual
2015-03-01 10:00:00,2250.76,actual
2015-03-01 11:00:00,2722.12,actual
2015-03-01 12:00:00,2316.62,actual
2015-03-01 13:00:00,2161.36,actual
2015-03-01 14:00:00,1799.07,actual
2015-03-01 15:00:00,908.33,actual
2015-03-01 16:00:00,393.99,actual
2015-03-01 17:00:00,71.42,actual
2015-03-02 06:00:00,1.18,actual
2015-03-02 07:00:00,258.54,actual
2015-03-02 08:00:00,940.13,actual
2015-03-02 09:00:00,1248.12,actual
2015-03-02 10:00:00,1574.57,actual
2015-03-02 11:00:00,1867.07,actual
2015-03-02 12:00:00,2259.74,actual
2015-03-02 13:00:00,2249.88,actual
2015-03-02 14:00:00,1982.88,actual
2015-03-02 15:00:00,1408.81,actual
2015-03-02 16:00:00,655.86,actual
2015-03-02 17:00:00,76.47,actual
2015-03-03 06:00:00,1.96,actual
2015-03-03 07:00:00,218.24,actual
2015-03-03 08:00:00,800.27,actual
2015-03-03 09:00:00,1487.15,actual
2015-03-03 10:00:00,1851.62,actual
2015-03-03 11:00:00,1885.75,actual
2015-03-03 12:00:00,1813.5,actual
2015-03-03 13:00:00,1528.56,actual
2015-03-03 14:00:00,1217.89,actual
2015-03-03 15:00:00,815.09,actual
2015-03-03 16:00:00,473.1,actual
2015-03-03 17:00:00,87.44,actual
2015-03-04 06:00:00,5.2,actual
2015-03-04 07:00:00,374.16,actual
2015-03-04 08:00:00,1212.89,actual
2015-03-04 09:00:00,2066.37,actual
2015-03-04 10:00:00,2751.178,actual
2015-03-04 11:00:00,2751.178,actual
2015-03-04 12:00:00,2751.178,actual
2015-03-04 13:00:00,2751.178,actual
2015-03-04 14:00:00,2530.75,actual
2015-03-04 15:00:00,1815.25,actual
2015-03-04 16:00:00,945.69,actual
2015-03-04 17:00:00,153.72,actual
2015-03-05 06:00:00,7.82,actual
2015-03-05 07:00:00,353.11,actual
2015-03-05 08:00:00,937.15,actual
2015-03-05 09:00:00,1640.84,actual
2015-03-05 10:00:00,2399.19,actual
2015-03-05 11:00:00,2751.178,actual
2015-03-05 12:00:00,2751.178,actual
2015-03-05 13:00:00,2751.178,actual
2015-03-05 14:00:00,2226.12,actual
2015-03-05 15:00:00,1394.87,actual
2015-03-05 16:00:00,660.06,actual
2015-03-05 17:00:00,113.7,actual
2015-03-06 06:00:00,8.86,actual
2015-03-06 07:00:00,275.42,actual
2015-03-06 08:00:00,746.81,actual
2015-03-06 09:00:00,1337.75,actual
2015-03-06 10:00:00,2023.88,actual
2015-03-06 11:00:00,2640.38,actual
2015-03-06 12:00:00,2751.178,actual
2015-03-06 13:00:00,2751.178,actual
2015-03-06 14:00:00,2698.88,actual
2015-03-06 15:00:00,1927.26,actual
2015-03-06 16:00:00,1008.3,actual
2015-03-06 17:00:00,182.76,actual
2015-03-07 06:00:00,9.27,actual
2015-03-07 07:00:00,279.4,actual
2015-03-07 08:00:00,847.16,actual
2015-03-07 09:00:00,1718.54,actual
2015-03-07 10:00:00,2751.178,actual
2015-03-07 11:00:00,2751.178,actual
2015-03-07 12:00:00,2751.178,actual
2015-03-07 13:00:00,2751.178,actual
2015-03-07 14:00:00,2746.75,actual
2015-03-07 15:00:00,1973.12,actual
2015-03-07 16:00:00,1052.63,actual
2015-03-07 17:00:00,196.49,actual
2015-03-08 06:00:00,7.59,actual
2015-03-08 07:00:00,152.72,actual
2015-03-08 08:00:00,296.15,actual
2015-03-08 09:00:00,403.66,actual
2015-03-08 10:00:00,422.16,actual
2015-03-08 11:00:00,598.92,actual
2015-03-08 12:00:00,606.06,actual
2015-03-08 13:00:00,697.56,actual
2015-03-08 14:00:00,1150.65,actual
2015-03-08 15:00:00,1419.91,actual
2015-03-08 16:00:00,1002.76,actual
2015-03-08 17:00:00,213.41,actual
2015-03-09 06:00:00,12.56,actual
2015-03-09 07:00:00,218.09,actual
2015-03-09 08:00:00,487.72,actual
2015-03-09 09:00:00,731.81,actual
2015-03-09 10:00:00,842.72,actual
2015-03-09 11:00:00,765.0,actual
2015-03-09 12:00:00,733.59,actual
2015-03-09 13:00:00,817.28,actual
2015-03-09 14:00:00,732.66,actual
2015-03-09 15:00:00,470.75,actual
2015-03-09 16:00:00,225.88,actual
2015-03-09 17:00:00,31.97,actual
2015-03-10 06:00:00,18.2,actual
2015-03-10 07:00:00,308.12,actual
2015-03-10 08:00:00,787.35,actual
2015-03-10 09:00:00,1283.76,actual
2015-03-10 10:00:00,1647.44,actual
2015-03-10 11:00:00,2170.7,actual
2015-03-10 12:00:00,2751.178,actual
2015-03-10 13:00:00,2751.178,actual
2015-03-10 14:00:00,2751.178,actual
2015-03-10 15:00:00,2044.88,actual
2015-03-10 16:00:00,1081.12,actual
2015-03-10 17:00:00,227.91,actual
2015-03-11 06:00:00,22.01,actual
2015-03-11 07:00:00,253.83,actual
2015-03-11 08:00:00,546.94,actual
2015-03-11 09:00:00,651.72,actual
2015-03-11 10:00:00,952.2,actual
2015-03-11 11:00:00,1295.5,actual
2015-03-11 12:00:00,1235.93,actual
2015-03-11 13:00:00,896.46,actual
2015-03-11 14:00:00,747.85,actual
2015-03-11 15:00:00,729.66,actual
2015-03-11 16:00:00,442.1,actual
2015-03-11 17:00:00,72.85,actual
2015-03-12 06:00:00,29.28,actual
2015-03-12 07:00:00,379.39,actual
2015-03-12 08:00:00,846.28,actual
2015-03-12 09:00:00,1117.11,actual
2015-03-12 10:00:00,1303.51,actual
2015-03-12 11:00:00,1347.76,actual
2015-03-12 12:00:00,1159.74,actual
2015-03-12 13:00:00,949.44,actual
2015-03-12 14:00:00,703.28,actual
2015-03-12 15:00:00,420.91,actual
2015-03-12 16:00:00,172.33,actual
2015-03-12 17:00:00,36.2,actual
2015-04-01 05:00:00,1.62,actual
2015-04-01 06:00:00,336.24,actual
2015-04-01 07:00:00,1140.56,actual
2015-04-01 08:00:00,1866.01,actual
2015-04-01 09:00:00,2564.76,actual
2015-04-01 10:00:00,2751.178,actual
2015-04-01 11:00:00,2751.178,actual
2015-04-01 12:00:00,2751.178,actual
2015-04-01 13:00:00,2751.178,actual
2015-04-01 14:00:00,2686.62,actual
2015-04-01 15:00:00,1699.38,actual
2015-01-01 08:00:00,-346.892003148211,forecast
2015-01-01 09:00:00,127.96858424480337,forecast
2015-01-01 10:00:00,531.312471147211,forecast
2015-01-01 11:00:00,801.1656674959281,forecast
2015-01-01 12:00:00,891.5671137171666,forecast
2015-01-01 13:00:00,790.7648927105336,forecast
2015-01-01 14:00:00,517.6521561002005,forecast
2015-01-01 15:00:00,106.07784026898429,forecast
2015-01-01 16:00:00,-395.0557264484439,forecast
2015-01-02 08:00:00,-10.941795803462242,forecast
2015-01-02 09:00:00,465.59188536428815,forecast
2015-01-02 10:00:00,868.4384107640915,forecast
2015-01-02 11:00:00,1135.6803919968734,forecast
2015-01-02 12:00:00,1221.4334714433978,forecast
2015-01-02 13:00:00,1114.0411011493356,forecast
2015-01-02 14:00:00,832.5088345031766,forecast
2015-01-02 15:00:00,410.8132300826521,forecast
2015-01-02 16:00:00,-102.00250595292317,forecast
2015-01-03 08:00:00,15.374173995501451,forecast
2015-01-03 09:00:00,477.5960370697076,forecast
2015-01-03 10:00:00,866.9690788412063,forecast
2015-01-03 11:00:00,1121.5981305512873,forecast
2015-01-03 12:00:00,1195.6048115121948,forecast
2015-01-03 13:00:00,1077.3228335977756,forecast
2015-01-03 14:00:00,785.7330463805935,forecast
2015-01-03 15:00:00,354.7733099325164,forecast
2015-01-03 16:00:00,-166.56469441842432,forecast
2015-01-04 08:00:00,-151.16670895539826,forecast
2015-01-04 09:00:00,302.8934320527045,forecast
2015-01-04 10:00:00,683.649851149615,forecast
2015-01-04 11:00:00,929.2277034170543,forecast
2015-01-04 12:00:00,993.7844896499653,forecast
2015-01-04 13:00:00,865.705253528362,forecast
2015-01-04 14:00:00,564.037276463709,forecast
2015-01-04 15:00:00,122.799359265041,forecast
2015-01-04 16:00:00,-408.9221917899649,forecast
2015-01-05 08:00:00,-466.7429644201227,forecast
2015-01-05 09:00:00,-4.719461956545302,forecast
2015-01-05 10:00:00,386.03790478199215,forecast
2015-01-05 11:00:00,643.6741073717544,forecast
2015-01-05 12:00:00,722.3452617172751,forecast
2015-01-05 13:00:00,610.4131454228041,forecast
2015-01-05 14:00:00,326.87946935810544,forecast
2015-01-05 15:00:00,-94.30499336317806,forecast
2015-01-05 16:00:00,-604.1442979772431,forecast
2015-01-06 08:00:00,-207.22948930903462,forecast
2015-01-06 09:00:00,278.11348633206677,forecast
2015-01-06 10:00:00,690.1798741723279,forecast
2015-01-06 11:00:00,966.9222218906102,forecast
2015-01-06 12:00:00,1062.3232301572211,forecast
2015-01-06 13:00:00,964.5923365053881,forecast
2015-01-06 14:00:00,692.6018433398131,forecast
2015-01-06 15:00:00,280.19766541323145,forecast
2015-01-06 16:00:00,-223.7032010820938,forecast
2015-01-07 08:00:00,-77.15016556881645,forecast
2015-01-07 09:00:00,379.43350188701913,forecast
2015-01-07 10:00:00,762.7006039955043,forecast
2015-01-07 11:00:00,1010.89269589222,forecast
2015-01-07 12:00:00,1078.2781351317346,forecast
2015-01-07 13:00:00,953.3456747520299,forecast
2015-01-07 14:00:00,655.2376713331469,forecast
2015-01-07 15:00:00,218.05801598196814,forecast
2015-01-07 16:00:00,-309.03307733752416,forecast
2015-01-08 08:00:00,-206.47653267728197,forecast
2015-01-08 09:00:00,268.3840499601497,forecast
2015-01-08 10:00:00,671.7279321090218,forecast
2015-01-08 11:00:00,941.5811237090365,forecast
2015-01-08 12:00:00,1031.982565176115,forecast
2015-01-08 13:00:00,931.1803394003816,forecast
2015-01-08 14:00:00,658.0675980515053,forecast
2015-01-08 15:00:00,246.49327746376227,forecast
2015-01-08 16:00:00,-254.64029401051494,forecast
2015-01-09 08:00:00,129.47356058075692,forecast
2015-01-09 09:00:00,606.0072369929251,forecast
2015-01-09 10:00:00,1008.8537576389177,forecast
2015-01-09 11:00:00,1276.0957341201906,forecast
2015-01-09 12:00:00,1361.8488088030956,forecast
2015-01-09 13:00:00,1254.456433733189,forecast
2015-01-09 14:00:00,972.9241623394023,forecast
2015-01-09 15:00:00,551.2285531541918,forecast
2015-01-09 16:00:00,38.41281235361035,forecast
2015-01-10 08:00:00,155.78941611832627,forecast
2015-01-10 09:00:00,618.0112744287901,forecast
2015-01-10 10:00:00,1007.384311438598,forecast
2015-01-10 11:00:00,1262.0133583803065,forecast
2015-01-10 12:00:00,1336.020034590245,forecast
2015-01-10 13:00:00,1217.738051899351,forecast
2015-01-10 14:00:00,926.148259935671,forecast
2015-01-10 15:00:00,495.18851872128727,forecast
2015-01-10 16:00:00,-26.149490372967307,forecast
2015-01-11 08:00:00,-10.751580740816593,forecast
2015-01-11 09:00:00,443.30855551710374,forecast
2015-01-11 10:00:00,824.0649698874965,forecast
2015-01-11 11:00:00,1069.642817403867,forecast
2015-01-11 12:00:00,1134.1995988989086,forecast
2015-01-11 13:00:00,1006.1203580382376,forecast
2015-01-11 14:00:00,704.4523762316643,forecast
2015-01-11 15:00:00,263.21445428624764,forecast
2015-01-11 16:00:00,-268.5071015083861,forecast
2015-01-12 08:00:00,-326.32794996763283,forecast
2015-01-12 09:00:00,135.69554770345457,forecast
2015-01-12 10:00:00,526.4529144100228,forecast
2015-01-12 11:00:00,784.0891169408659,forecast
2015-01-12 12:00:00,862.7602712425428,forecast
2015-01-12 13:00:00,750.8281549030362,forecast
2015-01-12 14:00:00,467.2944787914146,forecast
2015-01-12 15:00:00,46.110016017374505,forecast
2015-01-12 16:00:00,-463.7292886423327,forecast
2015-02-01 07:00:00,-57.60584980008355,forecast
2015-02-01 08:00:00,410.49342614724964,forecast
2015-02-01 09:00:00,864.5535623729672,forecast
2015-02-01 10:00:00,1245.3099766865578,forecast
2015-02-01 11:00:00,1490.8878241698042,forecast
2015-02-01 12:00:00,1555.444222365134,forecast
2015-02-01 13:00:00,1427.3645982060434,forecast
2015-02-01 14:00:00,1125.696233104336,forecast
2015-02-01 15:00:00,684.4579278692038,forecast
2015-02-01 16:00:00,152.73598877869003,forecast
2015-02-02 07:00:00,-379.15573026223075,forecast
2015-02-02 08:00:00,94.90900761800455,forecast
2015-02-02 09:00:00,556.9321220012391,forecast
2015-02-02 10:00:00,947.6891054603932,forecast
2015-02-02 11:00:00,1205.3249247631416,forecast
2015-02-02 12:00:00,1283.9956958066875,forecast
2015-02-02 13:00:00,1172.0631962180437,forecast
2015-02-02 14:00:00,888.5282439594163,forecast
2015-02-02 15:00:00,467.34250502115106,forecast
2015-02-02 16:00:00,-42.49807579631323,forecast
2015-02-03 07:00:00,-144.7883030840121,forecast
2015-02-03 08:00:00,354.3963137027324,forecast
2015-02-03 09:00:00,839.7380131559567,forecast
2015-02-03 10:00:00,1251.8031248250775,forecast
2015-02-03 11:00:00,1528.5441963205635,forecast
2015-02-03 12:00:00,1623.9439283940528,forecast
2015-02-03 13:00:00,1526.2117585433873,forecast
2015-02-03 14:00:00,1254.2199892003914,forecast
2015-02-03 15:00:00,841.8145350618921,forecast
